covariate,exp(coef),p
SD_truck,0.8806250123030318,0.0013418519799297108
log_n_dev,0.8842473653264873,0.002460499409113766
TD_trad,0.9411149218001681,0.1410547858446582
TD_ml,0.9605487537019632,0.31496340888780006
TD_vuln,0.9780129615360279,0.5907873614316969
SD_stcongr,0.9901694809978209,0.8012445605129712
SD_community,1.0002525577306371,0.9948913023171172
