covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
log_commits_count,-0.4283748387418095,0.6515671364134732,0.04312265280896813,-0.512893685165212,-0.34385599231840697,0.598760445339825,0.7090310266121657,0.0,-9.933870270910633,2.965179314667556e-23,74.83622683023187
log_traditional_smell_count,-0.004488674488885712,0.9955213845542297,0.053258305981974494,-0.10887303609116983,0.09989568711339841,0.8968442771250866,1.1050556405195668,0.0,-0.084281210341255,0.9328328512184267,0.10030949861378109
log_community_smell_count,0.09507552560195427,1.0997419106594508,0.09476923103781924,-0.0906687540747269,0.2808198052786354,0.9133201943911496,1.3242149658884397,0.0,1.003232004320187,0.31574893459486303,1.6631502288311486
log_bug_introduced_count_rszz,0.04650597583165698,1.0476043393570036,0.07025324063197796,-0.09118784560424578,0.18419979726755972,0.9128462206430245,1.202256006566521,0.0,0.6619762364455017,0.5079864513921708,0.9771380757835988
stqf_ratio_smelly_devs,0.22999110991441332,1.2585888209174059,0.12198581139979306,-0.009096687054076624,0.46907890688290327,0.9909445626303541,1.5985211280978116,0.0,1.885392303213417,0.05937689240342419,4.073954600516982
stqf_global_turnover,0.5357066281476771,1.7086551996276949,0.1655802340640229,0.21117533283048,0.8602379234648743,1.235128894722703,2.3637230119777994,0.0,3.235329574063423,0.0012150239549706748,9.684799526899582
stqf_core_code_turnover,0.10614482366648081,1.1119829062873403,0.11730505890218847,-0.12376886698615824,0.33605851431911987,0.8835840427257258,1.399420908576848,0.0,0.9048614327450848,0.3655388011915838,1.4519035414713914
stqf_global_truck,0.7550467927064635,2.127711082386079,0.13162379513055442,0.49706889474209826,1.0130246906708287,1.6438957705939388,2.7539181808788773,0.0,5.736400412687926,9.670987109529114e-09,26.62368970209782
stqf_st_congruence,0.24415244148806295,1.2765389131493334,0.12617571543644823,-0.003147416490950128,0.491452299467076,0.9968575314319144,1.6346885541846161,0.0,1.9350192756468803,0.052987930347176866,4.238192411443791
stqf_communicability,0.3695075561392356,1.4470218621500206,0.13823407940776522,0.09857373906396583,0.6404413732145053,1.10359577951387,1.8973181199210971,0.0,2.6730568736907196,0.007516350614296652,7.055751919113648
stqf_num_tz,0.015340332539187233,1.0154585994175949,0.00861613509625322,-0.0015469819354006296,0.0322276470137751,0.9984542140243647,1.0327525815880634,0.0,1.7804192213580858,0.07500737838800414,3.7368236709634104
stqf_ratio_smelly_quitters,0.30311847613276915,1.3540748804946847,0.1347178858379913,0.03907627181692763,0.5671606804486107,1.0398497918585856,1.763253497132059,0.0,2.2500239982780954,0.02444742195723473,5.354173852434113
stqf_ratio_sponsored,-0.020638213162219754,0.9795732971947207,0.11553052077302055,-0.24707387299249658,0.20579744666805708,0.7810829904621599,1.228504341144558,0.0,-0.17863862314588758,0.8582214653794276,0.220578109427759
ml_smell_count,0.07390600688900731,1.0767055978311193,0.10808479129373208,-0.13793629132323595,0.2857483051012506,0.8711541900586235,1.3307574682305714,0.0,0.6837780413357117,0.49411533463860513,1.0170802650404647
vulnerability_count,-0.050848444456564494,0.9504227014468207,0.04008061686421384,-0.12940500998857232,0.02770812107544334,0.8786180443905189,1.0280955611969902,0.0,-1.2686542382526242,0.20456441055598149,2.289372923315982
vulnerability_high,-0.24021489778458868,0.7864588346442668,0.17848377044125419,-0.5900366596743616,0.10960686410518419,0.5543069636492435,1.1158393077331177,0.0,-1.3458640928008216,0.17834635078523503,2.4872463983307775
bug_fix_commits_count,-0.021246181434242208,0.9789779287108188,0.01081059798883734,-0.042434564143704535,-5.779872477987974e-05,0.9584531806736112,0.9999422029455343,0.0,-1.9653104718333159,0.04937831431033472,4.339978603549825
se_score,-0.00021420589177137723,0.9997858170486726,0.007896130227037088,-0.015690336754002148,0.015261924970459395,0.9844321153051963,1.0153789828989803,0.0,-0.027127958330514387,0.9783576754398667,0.03156610184971708
sentiment_score,1.1306807102639551,3.0977644626524934,1.9831195303473104,-2.75616214625476,5.01752356678267,0.06353513962281923,151.03680771051847,0.0,0.5701525767667344,0.56857421761044,0.8145794143891391
project_age,-0.0013399910940871194,0.998660906293104,0.00097745085095409,-0.003255759558615164,0.0005757773704409251,0.9967495346793895,1.0005759431620493,0.0,-1.370903808390114,0.17040494400404674,2.552960901420747
developer_tenure,-0.12073527271901943,0.8862685480034611,0.003363872638442879,-0.1273283419389472,-0.11414220349909167,0.8804445382654614,0.8921310827001085,0.0,-35.89174909276804,4.108656946808119e-282,934.7450558808335
