covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
log_commits_count,-0.4350382277194571,0.6472399240988639,0.043780078361106846,-0.5208456045475679,-0.3492308508913463,0.5940180311863906,0.7052303084315883,0.0,-9.936899247442518,2.8764142845995054e-23,74.88007470298353
log_traditional_smell_count,0.021665082492021714,1.0219014744556054,0.0740236590943426,-0.12341862333676061,0.16674878832080403,0.8838935666266257,1.1814574321205191,0.0,0.2926778108119423,0.7697684319741229,0.3775035871164042
log_community_smell_count,0.10542391281003921,1.1111815546242831,0.09643641177673151,-0.08358798107062887,0.2944358066907073,0.9198101572287509,1.3423687895089973,0.0,1.0931961368918979,0.27430769282667244,1.866133012448658
log_bug_introduced_count_rszz,0.03248393235275303,1.0330172948531315,0.0766637274682314,-0.11777421240557458,0.18274207711108065,0.8888967318130968,1.2005047304978278,0.0,0.42371970977036055,0.6717702392084632,0.5739602122316219
stqf_ratio_smelly_devs,0.24392597117689585,1.2762498477180602,0.12262748296449733,0.0035805210516820785,0.48427142130210965,1.003586938774494,1.622992100504375,0.0,1.9891623417526758,0.046683287034123194,4.420950043020961
stqf_global_turnover,0.5203605726384944,1.6826342522021194,0.16775549727811234,0.1915658397647872,0.8491553055122016,1.2111445719887135,2.3376713995710907,0.0,3.1018987817479275,0.0019228369216339294,9.022547873688179
stqf_core_code_turnover,0.09875328608670651,1.1037939446398377,0.11743242229106093,-0.13141003222107156,0.32891660439448456,0.8768581605703117,1.3894619757329354,0.0,0.8409371463184381,0.4003831470195002,1.3205468455463532
stqf_global_truck,0.7532973972159003,2.123992128122693,0.13196530423494962,0.49465015370652793,1.0119446407252726,1.6399244172092384,2.7509454173530745,0.0,5.708298871305882,1.1411091678766085e-08,26.38498794081123
stqf_st_congruence,0.2355684905592386,1.2656280618625195,0.12646355856438354,-0.012295529583725068,0.4834325107022023,0.9877797515836605,1.6216311261754095,0.0,1.8627381139153134,0.062499120728788195,4.000020296466239
stqf_communicability,0.3622886876295882,1.436613614681086,0.13868050098871457,0.09047990033373632,0.6340974749254401,1.0946995043258216,1.8853198249670329,0.0,2.6123981745571445,0.008990947106212739,6.797311187446694
stqf_num_tz,0.01528338823046208,1.0154007764759714,0.008646701268277471,-0.0016638348404385706,0.03223061130136273,0.9983375485653903,1.0327556429682596,0.0,1.7675397537478148,0.07713787746490146,3.696416740631876
stqf_ratio_smelly_quitters,0.2973488759185078,1.346284903908915,0.13609848621491913,0.030600744586845252,0.5640970072501703,1.0310737599164792,1.7578597312377093,0.0,2.184806636636289,0.02890302724312963,5.112635584248525
stqf_ratio_sponsored,-0.0285742921331492,0.9718300921335458,0.11581438698749574,-0.2555663195202251,0.19841773525392675,0.7744777718630432,1.2194717037577043,0.0,-0.24672489210027346,0.80512114087701,0.31272222322072996
ml_smell_count,0.07578132169150209,1.0787266542428586,0.10834190277391932,-0.13656490576191996,0.2881275491449241,0.8723496979002804,1.333927434576828,0.0,0.699464563121413,0.48426175164544616,1.0461410355582803
vulnerability_count,-0.022006807427994917,0.9782335757739145,0.05132853350671836,-0.1226088844804203,0.07859526962443046,0.8846095794449701,1.0817664097327904,0.0,-0.42874412971713793,0.6681094418701456,0.5818436474115817
vulnerability_high,-0.23648211024001592,0.7894000043522578,0.17817323371161656,-0.5856952313238222,0.11273101084379034,0.5567186789727714,1.1193308046016226,0.0,-1.3272594615573716,0.18442286880478834,2.4389105309552876
bug_fix_commits_count,-0.02263248804143075,0.9776217054278086,0.011036119665144395,-0.04426288511418801,-0.0010020909686734962,0.9567024215866324,0.9989984109568089,0.0,-2.0507650087295994,0.04028983668546686,4.633440232229256
se_score,-0.00022951301546992312,0.9997705133206274,0.0079022367372227,-0.015717612417735723,0.015258586386795876,0.9844052646320373,1.0153755929769546,0.0,-0.029044057157744326,0.9768294528704096,0.033821394490913835
sentiment_score,1.139082719259093,3.1239015558190157,1.9851653113215804,-2.751769794289449,5.0299352328076345,0.06381482210049444,152.92310797451643,0.0,0.573797412619896,0.5661048998339069,0.820858684148734
project_age,-0.0013156259047645022,0.998685239151591,0.0009789874934934867,-0.003234406133326877,0.0006031543237978723,0.9967708189233543,1.0006033362579432,0.0,-1.343863852713513,0.17899241682386924,2.4820296271874436
developer_tenure,-0.12086488487080366,0.886153684273924,0.0033710560290120513,-0.1274720332775339,-0.11425773646407343,0.880318035100129,0.8920280181047655,0.0,-35.853715818014834,1.609505809835897e-281,932.775176878825
SD_comm_x_TD_trad,-0.01412353334013492,0.9859757358633744,0.02174055582140716,-0.05673423975397556,0.02848717307370572,0.9448451382793818,1.0288968131662946,0.0,-0.6496399381945872,0.5159248288472017,0.9547672171256251
SD_smelly_x_TD_vuln,-0.07200999732303032,0.9305215930397521,0.08196967970748123,-0.23266761737397723,0.0886476227279166,0.7924169153719983,1.0926955474022877,0.0,-0.8784955312745731,0.37967486174359133,1.3971636135454348
SD_turnover_x_TD_churn,3.7887544135435713e-06,1.000003788761591,4.598544792348569e-06,-5.224227760753846e-06,1.2801736587840989e-05,0.9999947757858855,1.0000128018185306,0.0,0.8239029050771903,0.4099947296388061,1.2863227304562226
SD_turnover_x_TD_trad,0.008310203202969005,1.0083448287903691,0.052404137633724854,-0.09440001920001176,0.11102042560594977,0.9099187044783329,1.1174177305556092,0.0,0.15857914237712684,0.8740004628029219,0.19429405122178214
SD_quitters_x_TD_bugs,0.026740783517057276,1.0271015266080437,0.052870473440562636,-0.07688344027202697,0.13036500730614153,0.9259977813658576,1.1392441398774504,0.0,0.5057791575692897,0.6130116916548414,0.7060135049327967
