project_url,n_dev,truck_factor,gini_commits,proj_failed
https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On.git,13,1,0.878048780487805,1
https://github.com/PaddlePaddle/PARL.git,43,2,0.7892582429940174,1
https://github.com/PetrochukM/PyTorch-NLP.git,18,1,0.8763616557734204,1
https://github.com/PhoenixDL/rising.git,11,1,0.7968518307288697,1
https://github.com/adobe/antialiased-cnns.git,4,1,0.7295321637426901,1
https://github.com/advboxes/AdvBox.git,18,1,0.8650353955063097,1
https://github.com/aimacode/aima-python.git,120,5,0.7785944959281101,1
https://github.com/aiqm/torchani.git,7,1,0.7684279191128507,1
https://github.com/aisolab/nlp_classification.git,3,1,0.6578483245149913,1
https://github.com/albumentations-team/albumentations.git,27,2,0.7790091882163495,1
https://github.com/alfredfrancis/ai-chatbot-framework.git,22,1,0.9042138119391339,1
https://github.com/alibaba/ai-matrix.git,7,1,0.7233635929288105,1
https://github.com/allegroai/trains.git,47,1,0.9401719036212486,1
https://github.com/allenai/allennlp.git,151,4,0.8410808695615188,1
https://github.com/alvinwan/neural-backed-decision-trees.git,13,1,0.7954237543278639,1
https://github.com/amaiya/ktrain.git,16,1,0.9217073897497021,1
https://github.com/amansrivastava17/embedding-as-service.git,8,1,0.772875816993464,1
https://github.com/amzn/xfer.git,8,1,0.65375,1
https://github.com/analyticalmindsltd/smote_variants.git,2,1,0.49773242630385495,1
https://github.com/anicolson/DeepXi.git,3,1,0.6415686274509804,1
https://github.com/apache/submarine.git,76,8,0.6742826380890381,1
https://github.com/apachecn/Interview.git,3,1,0.6049382716049383,1
https://github.com/apachecn/pytorch-doc-zh.git,104,1,0.8216986187187425,1
https://github.com/arogozhnikov/einops.git,22,1,0.9047115675022652,1
https://github.com/arogozhnikov/hep_ml.git,3,1,0.6048387096774195,1
https://github.com/arviz-devs/arviz.git,34,3,0.7696204445788599,1
https://github.com/as-ideas/TransformerTTS.git,6,1,0.7336548767416935,1
https://github.com/asappresearch/flambe.git,24,2,0.7602831196581197,1
https://github.com/asappresearch/sru.git,12,1,0.7940476190476191,1
https://github.com/astooke/rlpyt.git,17,1,0.8844193415070947,1
https://github.com/athena-team/athena.git,29,3,0.7279915920124118,1
https://github.com/autorope/donkeycar.git,46,1,0.8760663646525857,1
https://github.com/avrae/avrae.git,37,1,0.9149192975812941,1
https://github.com/baldassarreFe/deep-koalarization.git,7,2,0.6126126126126126,1
https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch.git,3,1,0.6025641025641026,1
https://github.com/bayesiains/nflows.git,25,2,0.698136645962733,1
https://github.com/beringresearch/ivis.git,8,2,0.7195054945054946,1
https://github.com/bethgelab/foolbox.git,6,1,0.7941176470588234,1
https://github.com/bethgelab/siamese-mask-rcnn.git,2,1,0.05782312925170063,1
https://github.com/beyretb/AnimalAI-Olympics.git,3,1,0.4719101123595506,1
https://github.com/bhoov/exbert.git,6,1,0.7863247863247862,1
https://github.com/biolib/openprotein.git,3,1,0.5439672801635993,1
https://github.com/bitextor/bitextor.git,30,2,0.8398748577929465,1
https://github.com/black0017/MedicalZooPytorch.git,5,2,0.5081967213114755,1
https://github.com/brainiak/brainiak.git,34,1,0.7964415395787945,1
https://github.com/bricewalker/Hey-Jetson.git,3,1,0.4277016742770168,1
https://github.com/broadinstitute/keras-rcnn.git,3,1,0.3508771929824561,1
https://github.com/bureaucratic-labs/dostoevsky.git,5,1,0.6217142857142857,1
https://github.com/calico/basenji.git,9,1,0.8699221514508138,1
https://github.com/carefree0910/MachineLearning.git,3,1,0.6565847511027096,1
https://github.com/catalyst-team/catalyst.git,11,1,0.7301895964997569,1
https://github.com/chuyangliu/snake.git,1,1,0.0,1
https://github.com/cisco/mindmeld.git,29,3,0.7000946585530763,1
https://github.com/cmu-db/ottertune.git,8,2,0.603515625,1
https://github.com/cmusatyalab/OpenTPOD.git,6,2,0.5183823529411764,1
https://github.com/colearninglounge/co-learning-lounge.git,50,2,0.7259710144927536,1
https://github.com/cornellius-gp/gpytorch.git,124,2,0.90740072505119,1
https://github.com/cortexlabs/cortex.git,23,1,0.8487670488718158,1
https://github.com/cpnota/autonomous-learning-library.git,2,1,0.4699248120300752,1
https://github.com/danielegrattarola/spektral.git,12,1,0.8435596170583117,1
https://github.com/danielhanchen/hyperlearn.git,4,1,0.7272727272727273,1
https://github.com/data-science-on-aws/workshop.git,17,1,0.8830241640224554,1
https://github.com/databricks/spark-deep-learning.git,13,4,0.3384615384615386,1
