feature,VIF
stqf_density,inf
stqf_core_code_devs,inf
stqf_degree_centr,inf
stqf_core_global_devs,inf
stqf_closeness_centr,17.866261671076856
stqf_devs,10.953564969877885
log_files_touched_count,5.61236890689867
log_code_churn,5.041545264625219
log_commits_count,4.663877124795607
stqf_communicability,4.551051349165203
log_bug_introduced_count_rszz,3.8069936779652407
stqf_global_turnover,3.153197295502211
stqf_ratio_smelly_quitters,3.0761432113426457
stqf_ratio_smelly_devs,2.998248517169506
bug_fix_commits_count,2.950159998408947
stqf_global_truck,2.8721921550126126
vulnerability_count,2.147532667806247
log_community_smell_count,1.9592632125316625
stqf_st_congruence,1.9581715653010496
log_traditional_smell_count,1.9310360375272226
stqf_num_tz,1.850183998281116
stqf_core_code_turnover,1.7704961014217198
project_age,1.7272875931530383
developer_tenure,1.4566367316080955
vulnerability_high,1.3380866716313982
ml_smell_count,1.3017277152112516
se_score,1.2277645174105898
sentiment_score,1.0548996312745855
stqf_ratio_sponsored,1.050018868051981
