metric,threshold,auc
SD community,1.0,0.5013687137519024
SD smelly devs,0.052632,0.5182916862671704
SD turnover,0.514286,0.6083870214129907
SD st-congruence,0.02445,0.5022936401160235
TD trad,inf,0.41968239899200216
TD ML,inf,0.46821973142155626
TD vuln,inf,0.4363069438270303
