predictor,coef,odds_ratio,p_value
SD_community,0.150558141118083,1.1624828911933973,0.4565156521360506
SD_stcongr,-0.34340421337526195,0.7093514242690333,0.10612500753234778
SD_truck,-0.931888657152401,0.39380923693333975,8.233483660205838e-06
TD_trad,-0.3783914430863482,0.6849623244151237,0.03863327540511941
TD_ml,-0.2015767239500429,0.8174408578625363,0.19014164330491157
TD_vuln,-0.142565358417105,0.8671308781385253,0.43007992785017013
log_n_dev,0.16352729746804925,1.1776575018166882,0.4391913650442071
