covariate,exp(coef),p
SD_truck,0.8509321847964886,0.00013273318584446355
log_n_dev,0.8629971601707883,0.0005942617993351388
TD_trad,0.922574856208302,0.0662203430442402
TD_vuln,0.9328797330003178,0.11756387348805952
SD_stcongr,0.9377478886139469,0.12656720111208403
TD_ml,0.9382634173064959,0.13836159035171733
SD_community,1.0371014807929921,0.3882010091863597
