feature,coef,odds_ratio,p_value,sig
log_commits_count,-0.531888532547735,0.5874944190209602,5.874687878897473e-41,***
developer_tenure,-0.1744877371801267,0.8398871535509388,6.981197672801306e-20,***
stqf_global_truck,0.8668501336157002,2.37940423189851,6.589847769245745e-12,***
stqf_ratio_smelly_devs,0.6984841423672093,2.0107024575147214,1.2684742302050559e-09,***
stqf_ratio_smelly_quitters,0.8158799956585627,2.2611646121341358,1.5268082102971836e-09,***
const,0.7832896312701426,2.1886603214222706,7.742955056666946e-07,***
stqf_communicability,0.5683962294377464,1.765433429637412,1.850051548277062e-05,***
log_bug_introduced_count_rszz,0.21258628402691276,1.2368728313298654,0.0007672164519192194,***
project_age,-0.00359087240763148,0.9964155670646121,0.000787647233591468,***
bug_fix_commits_count,-0.021924216981778436,0.978314371857888,0.0025827533348341527,**
stqf_core_code_turnover,0.21371521238535485,1.2382699606259973,0.04724903794653211,*
se_score,0.013034434541411285,1.0131197530732607,0.09306414336222153,ns
stqf_st_congruence,0.1834556435248452,1.201361676060501,0.10405722922326341,ns
stqf_global_turnover,0.22410515359284597,1.2512025809579232,0.13971970166618486,ns
log_traditional_smell_count,-0.06169230979730998,0.9401721240424828,0.16203192362446706,ns
vulnerability_count,-0.03848974845483733,0.9622415691521583,0.1837338427894264,ns
stqf_num_tz,-0.011389492143052137,0.9886751225803058,0.22074172013958782,ns
ml_smell_count,0.05909024864126581,1.0608709785843644,0.4163680351892055,ns
stqf_ratio_sponsored,-0.06929699136732524,0.9330495312687634,0.547177333992575,ns
vulnerability_high,0.05300113415606444,1.0544308410078107,0.6286984562049878,ns
sentiment_score,0.7529174222960289,2.1231852176965726,0.6631488156088384,ns
log_community_smell_count,-0.02507295103924033,0.9752387647518342,0.7742318283532791,ns
